acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0638,https://api.spotify.com/v1/audio-analysis/5x2TDyeeTpf0riUoQDrvsV,0.85,291933,0.707,5x2TDyeeTpf0riUoQDrvsV,2.58e-06,7,0.252,-6.507,1,0.0482,0,101.868,4,https://api.spotify.com/v1/tracks/5x2TDyeeTpf0riUoQDrvsV,audio_features,spotify:track:5x2TDyeeTpf0riUoQDrvsV,0.725
0.171,https://api.spotify.com/v1/audio-analysis/22UDw8rSfLbUsaAGTXQ4Z8,0.727,284733,0.729,22UDw8rSfLbUsaAGTXQ4Z8,0.0,0,0.07,-2.99,1,0.326,0,117.932,4,https://api.spotify.com/v1/tracks/22UDw8rSfLbUsaAGTXQ4Z8,audio_features,spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,0.512
0.00112,https://api.spotify.com/v1/audio-analysis/3E7dfMvvCLUddWissuqMwr,0.652,202067,0.698,3E7dfMvvCLUddWissuqMwr,0.000115,10,0.0886,-4.667,0,0.042,0,96.021,4,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr,audio_features,spotify:track:3E7dfMvvCLUddWissuqMwr,0.47
0.00865,https://api.spotify.com/v1/audio-analysis/4mmkhcEm1Ljy1U9nwtsxUo,0.571,221227,0.739,4mmkhcEm1Ljy1U9nwtsxUo,5.21e-06,7,0.158,-6.11,1,0.247,0,83.089,4,https://api.spotify.com/v1/tracks/4mmkhcEm1Ljy1U9nwtsxUo,audio_features,spotify:track:4mmkhcEm1Ljy1U9nwtsxUo,0.66
0.00864,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,0.583,275987,0.829,49FYlytm3dAAraYgpoJZux,0.0,1,0.0426,-4.603,1,0.134,0,174.028,4,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,audio_features,spotify:track:49FYlytm3dAAraYgpoJZux,0.575
0.173,https://api.spotify.com/v1/audio-analysis/4bCIt1XfHHGWo1UHKM11y9,0.63,261427,0.698,4bCIt1XfHHGWo1UHKM11y9,0.0,10,0.0789,-4.51,1,0.0244,0,94.023,4,https://api.spotify.com/v1/tracks/4bCIt1XfHHGWo1UHKM11y9,audio_features,spotify:track:4bCIt1XfHHGWo1UHKM11y9,0.529
0.027,https://api.spotify.com/v1/audio-analysis/11d9oUiwHuYt216EFA2tiz,0.98,271467,0.535,11d9oUiwHuYt216EFA2tiz,1.68e-06,2,0.104,-16.035,1,0.058,0,115.744,4,https://api.spotify.com/v1/tracks/11d9oUiwHuYt216EFA2tiz,audio_features,spotify:track:11d9oUiwHuYt216EFA2tiz,0.675
0.00549,https://api.spotify.com/v1/audio-analysis/3lsse1FoSHnNXc6y0jHxvd,0.551,236947,0.591,3lsse1FoSHnNXc6y0jHxvd,6.55e-06,6,0.0416,-8.404,0,0.12,0,201.799,4,https://api.spotify.com/v1/tracks/3lsse1FoSHnNXc6y0jHxvd,audio_features,spotify:track:3lsse1FoSHnNXc6y0jHxvd,0.474
0.251,https://api.spotify.com/v1/audio-analysis/5iEDwEp82uLN3X6llJdqen,0.794,225867,0.756,5iEDwEp82uLN3X6llJdqen,0.000611,9,0.122,-11.331,0,0.0343,0,124.25,4,https://api.spotify.com/v1/tracks/5iEDwEp82uLN3X6llJdqen,audio_features,spotify:track:5iEDwEp82uLN3X6llJdqen,0.759
0.259,https://api.spotify.com/v1/audio-analysis/5QRAfvKPyQpwt897Jc0glg,0.822,283748,0.969,5QRAfvKPyQpwt897Jc0glg,0.000162,7,0.39,-11.471,0,0.0582,0,128.007,4,https://api.spotify.com/v1/tracks/5QRAfvKPyQpwt897Jc0glg,audio_features,spotify:track:5QRAfvKPyQpwt897Jc0glg,0.765
0.0204,https://api.spotify.com/v1/audio-analysis/6PVMOFV7IjuP7LxulzSA43,0.488,257827,0.862,6PVMOFV7IjuP7LxulzSA43,0.0,0,0.359,-7.595,1,0.0476,0,104.56,4,https://api.spotify.com/v1/tracks/6PVMOFV7IjuP7LxulzSA43,audio_features,spotify:track:6PVMOFV7IjuP7LxulzSA43,0.706
