acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0507,https://api.spotify.com/v1/audio-analysis/4IXfh4oDXz88MnB9NihplU,0.834,304160,0.62,4IXfh4oDXz88MnB9NihplU,0.0,8,0.119,-6.3,0,0.144,1,147.07,4,https://api.spotify.com/v1/tracks/4IXfh4oDXz88MnB9NihplU,audio_features,spotify:track:4IXfh4oDXz88MnB9NihplU,0.677
0.0679,https://api.spotify.com/v1/audio-analysis/4Lvc9SbPc0svm9TEoMgFzB,0.967,242800,0.599,4Lvc9SbPc0svm9TEoMgFzB,0.0,7,0.0526,-5.659,0,0.0706,1,117.001,4,https://api.spotify.com/v1/tracks/4Lvc9SbPc0svm9TEoMgFzB,audio_features,spotify:track:4Lvc9SbPc0svm9TEoMgFzB,0.964
0.277,https://api.spotify.com/v1/audio-analysis/4NeOWqHmlrGRuBvsLJC9rL,0.772,276160,0.68,4NeOWqHmlrGRuBvsLJC9rL,1.17e-05,11,0.682,-5.881,0,0.224,1,119.953,4,https://api.spotify.com/v1/tracks/4NeOWqHmlrGRuBvsLJC9rL,audio_features,spotify:track:4NeOWqHmlrGRuBvsLJC9rL,0.807
0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.72,251088,0.763,5knuzwU65gJK7IF5yJsuaW,0.0,9,0.18,-4.068,0,0.0523,1,101.965,4,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742
0.00262,https://api.spotify.com/v1/audio-analysis/31t0ATifZW5CW3XP2QUsUW,0.564,197793,0.768,31t0ATifZW5CW3XP2QUsUW,0.0,8,0.324,-6.431,1,0.0342,1,144.971,4,https://api.spotify.com/v1/tracks/31t0ATifZW5CW3XP2QUsUW,audio_features,spotify:track:31t0ATifZW5CW3XP2QUsUW,0.362
0.0418,https://api.spotify.com/v1/audio-analysis/6dfXwa0dI1sBm4CIePuOYM,0.621,338867,0.839,6dfXwa0dI1sBm4CIePuOYM,0.836,1,0.312,-6.522,0,0.0348,1,126.022,4,https://api.spotify.com/v1/tracks/6dfXwa0dI1sBm4CIePuOYM,audio_features,spotify:track:6dfXwa0dI1sBm4CIePuOYM,0.404
0.0484,https://api.spotify.com/v1/audio-analysis/32bqxZEJRJObeNyc8bEiPt,0.59,169801,0.671,32bqxZEJRJObeNyc8bEiPt,0.0,9,0.0604,-6.098,1,0.0706,1,149.982,4,https://api.spotify.com/v1/tracks/32bqxZEJRJObeNyc8bEiPt,audio_features,spotify:track:32bqxZEJRJObeNyc8bEiPt,0.438
0.0306,https://api.spotify.com/v1/audio-analysis/1dNIEtp7AY3oDAKCGg2XkH,0.607,247627,0.649,1dNIEtp7AY3oDAKCGg2XkH,2.46e-05,11,0.174,-6.695,0,0.0362,1,102.996,4,https://api.spotify.com/v1/tracks/1dNIEtp7AY3oDAKCGg2XkH,audio_features,spotify:track:1dNIEtp7AY3oDAKCGg2XkH,0.505
0.0111,https://api.spotify.com/v1/audio-analysis/7fKsaiVDwKe6VVsiGk48YG,0.631,232907,0.821,7fKsaiVDwKe6VVsiGk48YG,0.0156,8,0.197,-5.503,1,0.0343,1,97.003,4,https://api.spotify.com/v1/tracks/7fKsaiVDwKe6VVsiGk48YG,audio_features,spotify:track:7fKsaiVDwKe6VVsiGk48YG,0.486
0.253,https://api.spotify.com/v1/audio-analysis/6uBhi9gBXWjanegOb2Phh0,0.69,210091,0.622,6uBhi9gBXWjanegOb2Phh0,0.0,5,0.116,-5.025,0,0.0622,1,102.04,4,https://api.spotify.com/v1/tracks/6uBhi9gBXWjanegOb2Phh0,audio_features,spotify:track:6uBhi9gBXWjanegOb2Phh0,0.544
